Class,Subject,Chapter,Title,Resource Types,DIKSHA,YouTube,NCERT,GeoGebra,PhET
7,Science,108,Measurement of Time and Motion,video; image; document/reading; quiz; worksheet; audio/read-aloud; experiment/demonstration; diagram/process-animation; simulation,https://diksha.gov.in/search?query=NCERT+Class+7+Science+Measurement+of+Time+and+Motion,https://www.youtube.com/results?search_query=Class+7+Science+Measurement+of+Time+and+Motion+explanation,https://ncert.nic.in/textbook.php,,https://phet.colorado.edu/en/simulations/filter?subjects=Measurement+of+Time+and+Motion
7,Science,109,Life Processes in Animals,video; image; document/reading; quiz; worksheet; audio/read-aloud; experiment/demonstration; diagram/process-animation; simulation,https://diksha.gov.in/search?query=NCERT+Class+7+Science+Life+Processes+in+Animals,https://www.youtube.com/results?search_query=Class+7+Science+Life+Processes+in+Animals+explanation,https://ncert.nic.in/textbook.php,,https://phet.colorado.edu/en/simulations/filter?subjects=Life+Processes+in+Animals
7,Science,110,Life Processes in Plants,video; image; document/reading; quiz; worksheet; audio/read-aloud; experiment/demonstration; diagram/process-animation; simulation,https://diksha.gov.in/search?query=NCERT+Class+7+Science+Life+Processes+in+Plants,https://www.youtube.com/results?search_query=Class+7+Science+Life+Processes+in+Plants+explanation,https://ncert.nic.in/textbook.php,,https://phet.colorado.edu/en/simulations/filter?subjects=Life+Processes+in+Plants
7,Science,111,Light: Shadows and Reflections,video; image; document/reading; quiz; worksheet; audio/read-aloud; experiment/demonstration; diagram/process-animation; simulation,https://diksha.gov.in/search?query=NCERT+Class+7+Science+Light%3A+Shadows+and+Reflections,https://www.youtube.com/results?search_query=Class+7+Science+Light%3A+Shadows+and+Reflections+explanation,https://ncert.nic.in/textbook.php,,https://phet.colorado.edu/en/simulations/filter?subjects=Light%3A+Shadows+and+Reflections
7,Science,112,"Earth, Moon, and the Sun",video; image; document/reading; quiz; worksheet; audio/read-aloud; experiment/demonstration; diagram/process-animation; simulation; map/atlas,https://diksha.gov.in/search?query=NCERT+Class+7+Science+Earth%2C+Moon%2C+and+the+Sun,https://www.youtube.com/results?search_query=Class+7+Science+Earth%2C+Moon%2C+and+the+Sun+explanation,https://ncert.nic.in/textbook.php,,https://phet.colorado.edu/en/simulations/filter?subjects=Earth%2C+Moon%2C+and+the+Sun
7,Social Science,101,Geographical Diversity of India,video; image; document/reading; quiz; worksheet; audio/read-aloud; map; timeline; historical/geographical-visual; map/atlas,https://diksha.gov.in/search?query=NCERT+Class+7+Social+Science+Geographical+Diversity+of+India,https://www.youtube.com/results?search_query=Class+7+Social+Science+Geographical+Diversity+of+India+explanation,https://ncert.nic.in/textbook.php,,
7,Social Science,102,Understanding the Weather,video; image; document/reading; quiz; worksheet; audio/read-aloud; map; timeline; historical/geographical-visual,https://diksha.gov.in/search?query=NCERT+Class+7+Social+Science+Understanding+the+Weather,https://www.youtube.com/results?search_query=Class+7+Social+Science+Understanding+the+Weather+explanation,https://ncert.nic.in/textbook.php,,
7,Social Science,103,Climates of India,video; image; document/reading; quiz; worksheet; audio/read-aloud; map; timeline; historical/geographical-visual; map/atlas,https://diksha.gov.in/search?query=NCERT+Class+7+Social+Science+Climates+of+India,https://www.youtube.com/results?search_query=Class+7+Social+Science+Climates+of+India+explanation,https://ncert.nic.in/textbook.php,,
7,Social Science,104,New Beginnings: Cities and States,video; image; document/reading; quiz; worksheet; audio/read-aloud; map; timeline; historical/geographical-visual,https://diksha.gov.in/search?query=NCERT+Class+7+Social+Science+New+Beginnings%3A+Cities+and+States,https://www.youtube.com/results?search_query=Class+7+Social+Science+New+Beginnings%3A+Cities+and+States+explanation,https://ncert.nic.in/textbook.php,,
7,Social Science,105,The Rise of Empires,video; image; document/reading; quiz; worksheet; audio/read-aloud; map; timeline; historical/geographical-visual,https://diksha.gov.in/search?query=NCERT+Class+7+Social+Science+The+Rise+of+Empires,https://www.youtube.com/results?search_query=Class+7+Social+Science+The+Rise+of+Empires+explanation,https://ncert.nic.in/textbook.php,,
7,Social Science,106,The Age of Reorganisation,video; image; document/reading; quiz; worksheet; audio/read-aloud; map; timeline; historical/geographical-visual,https://diksha.gov.in/search?query=NCERT+Class+7+Social+Science+The+Age+of+Reorganisation,https://www.youtube.com/results?search_query=Class+7+Social+Science+The+Age+of+Reorganisation+explanation,https://ncert.nic.in/textbook.php,,
